team_abbr,primary,secondary,tertiary,quaternary,team_name
ARI,#97233f,#000000,#ffb612,#a5acaf,Arizona Cardinals
ATL,#a71930,#000000,#a5acaf,#a30d2d,Atlanta Falcons
BAL,#241773,#000000,#9e7c0c,#c60c30,Baltimore Ravens
BUF,#00338d,#c60c30,#0c2e82,#d50a0a,Buffalo Bills
CAR,#0085ca,#000000,#bfc0bf,#0085ca,Carolina Panthers
CHI,#0b162a,#c83803,#0b162a,#c83803,Chicago Bears
CIN,#000000,#fb4f14,#000000,#d32f1e,Cincinnati Bengals
CLE,#fb4f14,#22150c,#a5acaf,#d32f1e,Cleveland Browns
DAL,#002244,#b0b7bc,#acc0c6,#a5acaf,Dallas Cowboys
DEN,#002244,#fb4f14,#00234c,#ff5200,Denver Broncos
DET,#005a8b,#b0b7bc,#000000,#004e89,Detroit Lions
GB,#203731,#ffb612,#1c2d25,#eead1e,Green Bay Packers
HOU,#03202f,#a71930,#00071c,#a30d2d,Houston Texans
IND,#002c5f,#a5acaf,#013369,#9ba1a2,Indianapolis Colts
JAX,#000000,#006778,#9f792c,#d7a22a,Jacksonville Jaguars
KC,#e31837,#ffb612,#000000,#e31837,Kansas City Chiefs
LAC,#002244,#0073cf,#ffb612,#001532,Los Angeles Chargers
LA,#002244,#b3995d,#001532,#af925d,Los Angeles Rams
MIA,#008e97,#f58220,#005778,#008e97,Miami Dolphins
MIN,#4f2683,#ffc62f,#e9bf9b,#000000,Minnesota Vikings
NE,#002244,#c60c30,#b0b7bc,#001532,New England Patriots
NO,#9f8958,#000000,#9f8958,#000000,New Orleans Saints
NYG,#0b2265,#a71930,#a5acaf,#012352,New York Giants
NYJ,#125740,#000000,#FFFFFF,NA,New York Jets
OAK,#a5acaf,#000000,#a6aeb0,#000000,Oakland Raiders
PHI,#004953,#a5acaf,#acc0c6,#000000,Philadelphia Eagles
PIT,#000000,#ffb612,#c60c30,#00539b,Pittsburgh Steelers
SF,#aa0000,#b3995d,#000000,#a5acaf,San Francisco 49ers
SEA,#002244,#69be28,#a5acaf,#001532,Seattle Seahawks
TB,#d50a0a,#34302b,#000000,#ff7900,Tampa Bay Buccaneers
TEN,#002244,#4b92db,#c60c30,#a5acaf,Tennessee Titans
WAS,#773141,#ffb612,#000000,#5b2b2f,Washington Redskins
